Study ID,Title,Form,Reviewer,Status,Intervention,Linked suggestion,Group name,Identification: Sponsorship source,Identification: Country,Identification: Author's name,Identification: Institution,Identification: Journal Name,Identification: Paper Title,Identification: Year of Publication,Identification: Notes,Methods: Please copy in one or more separated by a semi-colon: Lab (experimental); Lab (pilot); Economic Assessment; Environmental Assessment; Simulation or Modeling; Characterization,Methods: Notes,Population: Group differences,Population: Total sample size,Population: Notes,Population Baseline Characteristics: Mean age (years) ± SD,Population Baseline Characteristics: Mean age (years) ± SD (Overall),Intervention Characteristics: Raw Feedstock Concentration,Intervention Characteristics: units1,Intervention Characteristics: Leached REE Concentration,Intervention Characteristics: units2,Interventions: Notes,Reported outcomes in study,Outcomes: Notes,Result data: Notes,Outcome details: Example continuous outcome - Reported name,Outcome details: Example continuous outcome - Outcome type,Outcome details: Example continuous outcome - Reported against,Outcome details: Example continuous outcome - Reported as,Outcome details: Example continuous outcome - Reference arm,Outcome details: Example continuous outcome - Outcome group,Outcome details: Example continuous outcome - Reporting,Outcome details: Example continuous outcome - Range,Outcome details: Example continuous outcome - Unit of measure,Outcome details: Example continuous outcome - Timepoints,Outcome details: Example continuous outcome (End of study) Reported time,Outcome details: Example continuous outcome - Notes,Result data: Example continuous outcome (End of study) SD,Result data: Example continuous outcome (End of study) median,Result data: Example continuous outcome (End of study) SMD,Outcome details: Example dichotomous outcome - Reported name,Outcome details: Example dichotomous outcome - Outcome type,Outcome details: Example dichotomous outcome - Reported against,Outcome details: Example dichotomous outcome - Reported as,Outcome details: Example dichotomous outcome - Reference arm,Outcome details: Example dichotomous outcome - Outcome group,Outcome details: Example dichotomous outcome - Reporting,Outcome details: Example dichotomous outcome - Range,Outcome details: Example dichotomous outcome - Unit of measure,Outcome details: Example dichotomous outcome - Timepoints,Outcome details: Example dichotomous outcome (End of study) Reported time,Outcome details: Example dichotomous outcome - Notes,Result data: Example dichotomous outcome (End of study) Events,Result data: Example dichotomous outcome (End of study) Total,Outcome details: REE Results (idk) - Reported name,Outcome details: REE Results (idk) - Outcome type,Outcome details: REE Results (idk) - Reported against,Outcome details: REE Results (idk) - Reported as,Outcome details: REE Results (idk) - Reference arm,Outcome details: REE Results (idk) - Outcome group,Outcome details: REE Results (idk) - Reporting,Outcome details: REE Results (idk) - Range,Outcome details: REE Results (idk) - Unit of measure,Outcome details: REE Results (idk) - Timepoints,Outcome details: REE Results (idk) (Hydrometal) Reported time,Outcome details: REE Results (idk) (Pyrometal) Reported time,Outcome details: REE Results (idk) - Notes,Result data: REE Results (idk) (Hydrometal) Themes,Result data: REE Results (idk) (Hydrometal) Quote,Result data: REE Results (idk) (Hydrometal) Specific Feedstock,Result data: REE Results (idk) (Pyrometal) Themes,Result data: REE Results (idk) (Pyrometal) Quote,Result data: REE Results (idk) (Pyrometal) Specific Feedstock,Outcome details: Circular Economy - Reported name,Outcome details: Circular Economy - Outcome type,Outcome details: Circular Economy - Reported against,Outcome details: Circular Economy - Reported as,Outcome details: Circular Economy - Reference arm,Outcome details: Circular Economy - Outcome group,Outcome details: Circular Economy - Reporting,Outcome details: Circular Economy - Range,Outcome details: Circular Economy - Unit of measure,Outcome details: Circular Economy - Timepoints,Outcome details: Circular Economy (End of study) Reported time,Outcome details: Circular Economy - Notes,Result data: Circular Economy (End of study) Total,Result data: Circular Economy (End of study) Reuse
Gerardo 2022,From Ashes to Riches: Microscale Phenomena Controlling Rare Earths Recovery from Coal Fly Ash,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Gahlot 2024,Chloridizing roasting studies of spent NdFeB magnets for recovery of rare earth values,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Maani 2023,Estimating potentially recoverable Nd from end-of-life (EoL) products to meet future U.S. demands,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Li 2024,Separation of La/Ce in rare earth polishing powder waste via Two-Stage hydrochloric acid leaching and corresponding leaching mechanism,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Marra 2018,Bioleaching of metals from WEEE shredding dust,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Reynier 2021,Bioleaching of uranium tailings as secondary sources for rare earth elements production,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Dino 2020,Towards sustainable mining: Exploiting raw materials from extractive waste facilities,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Pavón 2021,"Recycling of rare earths from fluorescent lamp waste by the integration of solid-state chlorination, leaching and solvent extraction processes",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Eliwa 2022,"Maximizing the exploitation of phosphogypsum wastes using soaking technique with citric acid, recovering rare-earth and residual phosphate contents",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Lambert 2018,Innovative Application of Microwave Treatment for Recovering of Rare Earth Elements from Phosphogypsum,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Ciacci 2019,Recovering the “new twin”: Analysis of secondary neodymium sources and recycling potentials in Europe,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Zhou 2021,Selective Leaching of Rare Earth Elements from Ion-Adsorption Rare Earth Tailings: A Synergy between CeO2Reduction and Fe/Mn Stabilization,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Sandeep 2023,Estimation of rare earth elements in Indian coal fly ashes for recovery feasibility as a secondary source,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Modiga 2023,Optimisation of ultrasound-assisted alkali-acid leaching of rare earth elements from run-of-mine and discard coal using the response surface methodology,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Lu 2023,"Geochemistry of rare earth elements and yttrium in Late Permian coals from the Zhongliangshan coalfield, southwestern China",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Cornelius 2021,"The behaviour of rare earth elements from south african coal fly ash during enrichment processes: Wet, magnetic separation and zeolitisation",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Shoppert 2024,Reductive leaching of bauxite residue and subsequent scandium extraction by sulphuric acid leaching – Preliminary evaluation,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Wu 2022,Enrichment and occurrence form of rare earth elements during coal and coal gangue combustion,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Artiushenko 2024,Recovery of rare earth elements from waste phosphors using phosphonic acid-functionalized silica adsorbent,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Adamczyk 2020,Assessment of the potential of polish fly ashes as a source of rare earth elements,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Sun 2023,Investigation on the Value-Added Production of Silicon Dioxide and Synthesizing Zeolites as well as Extraction of Rare Earth Elements from Fly Ash,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Dehaine 2015,"Rare earth (La, Ce, Nd) and rare metals (Sn, Nb, W) as by-product of kaolin production, Cornwall: Part1: Selection and characterisation of the valuable stream",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Archambo 2022,Extraction of Rare Earths from Red Mud Iron Nugget Slags with Oxalic Acid Precipitation,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Venkatesan 2018,An environmentally friendly electro-oxidative approach to recover valuable elements from NdFeB magnet waste,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Kumari 2020,An innovative environmental process for the treatment of scrap Nd-Fe-B magnets,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Önal 2015,"Recycling of NdFeB Magnets Using Sulfation, Selective Roasting, and Water Leaching",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Mansouri 2022,Production of AB5 materials from spent Ni-MH batteries with further tests of hydrogen storage suitability,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Önal 2017,"Recycling of NdFeB magnets using nitration, calcination and water leaching for REE recovery",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Al-Thyabat 2016,Extraction of rare earth elements from upgraded phosphate flotation tailings,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Das 2018,Techno-economic analysis of supercritical extraction of rare earth elements from coal ash,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Al-Thyabat 2015,"REE extraction from phosphoric acid, phosphoric acid sludge, and phosphogypsum",Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Koch 2024,Rare earth element stripping from kaolin sands via mild acid treatment,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Liu 2023,Effective recovery of rare earth and fluorine from REF3 smelting slag by a mechanochemical process,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Yao 2018,Supercritical Fluid Extraction of Rare Earth Elements from Nickel Metal Hydride Battery,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Miranda 2022,Recovering Rare Earth Elements from Coal Mine Drainage Using Industrial Byproducts: Environmental and Economic Consequences,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
